Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
WcGAN-GP (DA)-KNN,8,4,4.70772828519243,3.4474667849289515,11.885027233188362,2.5883606557377052
WcGAN-GP (DA)-KNN,8,5,3.4739250282700134,2.456435944823396,6.0340775510204105,2.095714285714286
WcGAN-GP (DA)-KNN,8,6,2.256807513167758,1.8178036390814087,3.304410070257613,1.5318266978922714
WcGAN-GP (DA)-KNN,8,7,3.9110392449682654,2.7658401489738127,7.649871729675483,2.7205854800936775
WcGAN-GP (DA)-KNN,8,8,5.474767837464343,4.039198245408066,16.3151224657076,2.950222482435597
WcGAN-GP (DA)-KNN,8,9,4.004435296120581,2.8315633527096233,8.017751020408163,2.404285714285713
WcGAN-GP (DA)-KNN,8,10,2.780562418170976,2.0752678544664698,4.306736667781865,1.8658313817330208
WcGAN-GP (DA)-KNN,8,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
WcGAN-GP (DA)-KNN,8,12,3.091732183432882,2.2882969600959737,5.236302977584475,2.000234192037471
WcGAN-GP (DA)-KNN,8,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
WcGAN-GP (DA)-KNN,8,14,6.693305729841699,4.766732438457828,22.721738139846103,4.5359718969555045
